DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,LATITUDE,LONGITUD
19,2,2017,1,23,35,33.33566111,-87.00709444
14,2,2017,3,14,59,34.66152778,-86.78685278
31,1,2017,3,20,31,32.36651944,-86.14528056
1,1,2017,1,16,55,33.510175,-86.89400278
1,1,2017,1,20,0,31.94723611,-86.55677778
6,1,2017,6,18,40,34.36707778,-85.80417222
11,1,2017,4,17,57,33.54551111,-86.76139444
11,1,2017,4,16,50,31.03366667,-87.63510278
11,1,2017,4,14,30,32.41759167,-85.94290556
14,1,2017,7,4,0,33.66844167,-86.553425
15,1,2017,1,4,35,32.39305833,-85.98393056
19,1,2017,5,21,50,32.13146389,-86.44510833
1,1,2017,1,18,34,34.96279722,-86.79522222
2,1,2017,2,17,5,34.09405556,-86.80004722
4,1,2017,4,0,35,33.18518333,-86.28491389
4,1,2017,4,17,10,33.43155833,-86.18498056
4,1,2017,4,1,15,32.18711944,-86.04081111
4,1,2017,4,23,48,33.26630833,-86.35220833
5,1,2017,5,7,44,34.02868333,-86.03161389
6,1,2017,6,23,1,34.84546389,-86.64266944
7,1,2017,7,16,40,33.158925,-85.43507778
9,1,2017,2,19,44,34.52646111,-86.78778056
5,1,2017,5,8,45,34.49385833,-87.25871389
6,1,2017,6,11,27,31.76679722,-85.90671944
11,1,2017,4,0,30,32.90336111,-85.76370833
11,1,2017,4,6,30,30.47240833,-87.81856389
12,1,2017,5,20,23,34.81880833,-86.95076667
12,1,2017,5,1,14,33.80732222,-85.83454167
12,1,2017,5,0,27,34.13319444,-86.64860278
12,1,2017,5,23,45,32.41738611,-87.0832
13,1,2017,6,13,20,33.76197222,-86.04339167
13,1,2017,6,17,0,32.21607222,-85.91568056
14,1,2017,7,14,35,31.17472778,-85.5959
14,1,2017,7,0,15,32.35299722,-86.96958611
14,1,2017,7,3,30,33.85131111,-86.8796
14,1,2017,7,11,10,33.75118611,-88.23064167
14,1,2017,7,18,36,33.19260278,-87.52617778
18,1,2017,4,11,50,32.00772222,-87.03988889
18,1,2017,4,3,8,30.52319722,-87.90951389
20,1,2017,6,20,42,32.46786389,-85.10677778
21,1,2017,7,1,45,31.88147222,-85.89694167
22,1,2017,1,2,43,33.40672778,-86.96086667
22,1,2017,1,18,40,31.12401667,-88.10943333
23,1,2017,2,19,35,30.37024722,-87.70101111
24,1,2017,3,8,15,33.95275833,-88.15344722
24,1,2017,3,14,35,34.84603611,-85.62599167
27,1,2017,6,20,38,33.50980278,-86.89505
27,1,2017,6,16,40,31.29880833,-86.87450278
27,1,2017,6,9,45,34.67881667,-86.18735833
28,1,2017,7,17,43,33.419175,-86.67650278
29,1,2017,1,1,15,34.25533889,-86.09870833
31,1,2017,3,5,30,33.42864167,-86.34218056
17,1,2017,3,17,42,34.81576944,-86.49146389
20,1,2017,6,6,45,30.58723611,-88.16983611
26,1,2017,5,8,38,30.69777222,-88.10623611
28,1,2017,7,5,38,34.82330278,-85.84242222
31,1,2017,3,13,10,34.932775,-86.64334167
1,2,2017,4,20,59,32.52736389,-85.12010556
1,2,2017,4,5,30,34.69855278,-87.74929722
1,2,2017,4,4,30,34.00282778,-85.968775
2,2,2017,5,18,32,34.842625,-87.58996389
3,2,2017,6,13,40,33.45173333,-86.33668056
3,2,2017,6,0,16,34.15813889,-86.44095278
3,2,2017,6,12,40,32.55285,-86.97372778
3,2,2017,6,18,46,30.67341667,-88.14851944
5,2,2017,1,20,35,32.43126944,-87.01536944
6,2,2017,2,21,0,31.29455556,-87.76318889
7,2,2017,3,17,50,33.30375,-85.53588611
